addon_name,addon_url,search_rank,search_term,platform
Messenger for Facebook™,https://addons.mozilla.org/en-US/firefox/addon/facebook-messenger/?src=search,1,facebook,Firefox
Disconnect for Facebook™,https://addons.mozilla.org/en-US/firefox/addon/facebook-disconnect/?src=search,2,facebook,Firefox
Flash Video Player for Facebook™,https://addons.mozilla.org/en-US/firefox/addon/facebook-flash-video-player/?src=search,3,facebook,Firefox
Emoticons for Facebook,https://addons.mozilla.org/en-US/firefox/addon/facebook-secret-emoticons/?src=search,4,facebook,Firefox
Toolbar Button for Facebook™,https://addons.mozilla.org/en-US/firefox/addon/facebook-toolbar-button/?src=search,5,facebook,Firefox
F.B. Purity - Cleans Up Facebook,https://addons.mozilla.org/en-US/firefox/addon/fb-purity-cleans-up-facebook/?src=search,6,facebook,Firefox
Photo Zoom for Facebook™,https://addons.mozilla.org/en-US/firefox/addon/facebook-photo-zoom/?src=search,7,facebook,Firefox
Sidebar for Facebook™,https://addons.mozilla.org/en-US/firefox/addon/facebook-sidebar/?src=search,8,facebook,Firefox
Facebook Videos Downloader,https://addons.mozilla.org/en-US/firefox/addon/facebook-videos-downloader/?src=search,9,facebook,Firefox
AdBlocker for Facebook™,https://addons.mozilla.org/en-US/firefox/addon/adblock-for-facebook/?src=search,10,facebook,Firefox
Message Seen Disable for Facebook™,https://addons.mozilla.org/en-US/firefox/addon/facebook-message-seen-disable/?src=search,11,facebook,Firefox
Invite All (for Facebook),https://addons.mozilla.org/en-US/firefox/addon/invite-all-for-facebook/?src=search,12,facebook,Firefox
Facebook Unfriend Finder,https://addons.mozilla.org/en-US/firefox/addon/facebook-unfriend-finder/?src=search,13,facebook,Firefox
Share Button for Facebook™,https://addons.mozilla.org/en-US/firefox/addon/facebook-share-button/?src=search,14,facebook,Firefox
Reaction Packs for Facebook,https://addons.mozilla.org/en-US/firefox/addon/reaction-packs-for-facebook/?src=search,15,facebook,Firefox
AdBye - For Facebook,https://addons.mozilla.org/en-US/firefox/addon/adbye-for-facebook/?src=search,16,facebook,Firefox
Seen Blocker for Facebook™,https://addons.mozilla.org/en-US/firefox/addon/facebook-seen-blocker/?src=search,17,facebook,Firefox
Secret Revealer (for Facebook™),https://addons.mozilla.org/en-US/firefox/addon/secret-revealer-for-facebook/?src=search,18,facebook,Firefox
Facebook usability suite,https://addons.mozilla.org/en-US/firefox/addon/erase-facebook-ads-and-suggest/?src=search,19,facebook,Firefox
Facebook Messanger,https://addons.mozilla.org/en-US/firefox/addon/facebook-messanger/?src=search,20,facebook,Firefox
Disconnect for Facebook™ (WebExtension),https://addons.mozilla.org/en-US/firefox/addon/facebook-disconnect-ii/?src=search,21,facebook,Firefox
Kick Facebook Suggested Posts,https://addons.mozilla.org/en-US/firefox/addon/kick-facebook-suggested-posts/?src=search,22,facebook,Firefox
Save Your Facebook Content,https://addons.mozilla.org/en-US/firefox/addon/save-your-facebook-cont-256993/?src=search,23,facebook,Firefox
